〇	0
㑇	3235511
㑳	323552335523
㒸	431353334
㗂	251234325111
㗎	251532511234
㝵	25111124
㥁	132522154544
㨗	121215112134
㬎	25115545544444
㵪	441431121413534
㶸	4334535353
㺵	11213534
䯝	255452511131212511
䜣	453312
㧑	1214354
䌽	55134431234
䲠	35251211111342511
蘭	     12223232323232323232323
盧	2153232323232323
不	1327
兀	135	
一	1
丨	2
亅	2
丿	3
丶	4
乀	4
乁	4
乙	5
乚	5
乛	5
二	11
丁	12
丅	12
十	12
丆	13
厂	13
丂	15
七	15
匚	15
匸	15
丄	21
刂	22
卜	24
冂	25
亻	32
乂	34
人	34
入	34
八	34
九	35
儿	35
几	35
勹	35
匕	35
亠	41
冫	41
丷	43
冖	45
讠	45
刁	51
丩	52
了	52
凵	52
卩	52
阝	52
乃	53
刀	53
力	53
乄	54
厶	54
又	54
廴	54
乜	55
巜	55
三	111
亍	112
于	112
干	112
亏	115
亐	115
土	121
士	121
工	121
扌	121
卄	122
艹	122
才	123
下	124
寸	124
丌	132
廾	132
丈	134
大	134
兀	135
尢	135
与	151
万	153
夨	154
弋	154
上	211
小	234
凣	235
口	251
囗	251
山	252
巾	252
千	312
乇	315
乞	315
川	322
亿	325
彳	332
彡	333
凢	335
亼	341
个	342
乊	343
亽	344
亾	345
兦	345
亇	352
犭	353
丸	354
久	354
么	354
凡	354
勺	354
及	354
夂	354
夊	354
夕	354
饣	355
丬	412
广	413
亡	415
门	425
丫	432
义	434
氵	441
忄	442
宀	445
之	454
辶	454
彐	511
卂	512
尸	513
己	515
已	515
巳	515
弓	515
卫	521
子	521
孑	521
孒	521
屮	522
卪	524
孓	524
也	525
女	531
乆	534
刃	534
刄	534
飞	534
劜	535
习	541
叉	544
彑	551
纟	551
马	551
乡	553
幺	554
巛	555
亖	1111
丰	1112
王	1121
亓	1132
井	1132
开	1132
天	1134
夫	1134
元	1135
无	1135
韦	1152
专	1154
云	1154
弌	1154
耂	1213
圡	1214
丐	1215
圠	1215
扎	1215
廿	1221
艺	1225
木	1234
朩	1234
乤	1245
五	1251
巿	1252
帀	1252
邒	1252
支	1254
丏	1255
厅	1312
卅	1322
不	1324
冇	1325
仄	1334
太	1344
犬	1344
区	1345
历	1353
厷	1354
友	1354
尤	1354
歹	1354
匹	1355
厄	1355
辷	1454
车	1512
戸	1513
巨	1515
牙	1523
屯	1525
戈	1534
兂	1535
旡	1535
比	1535
互	1551
切	1553
瓦	1554
卝	2121
止	2121
攴	2154
少	2343
尐	2344
冃	2511
冄	2511
日	2511
曰	2511
中	2512
円	2521
乢	2525
內	2534
内	2534
冈	2534
水	2534
罓	2534
贝	2534
见	2535
禸	2554
午	3112
手	3112
牛	3112
毛	3115
气	3115
壬	3121
牜	3121
升	3132
夭	3134
攵	3134
长	3154
仁	3211
什	3212
仃	3212
片	3215
仆	3224
仈	3234
仇	3235
仉	3235
化	3235
屲	3252
币	3252
仂	3253
仍	3253
仅	3254
仏	3254
斤	3312
爪	3324
丯	3332
戶	3351
反	3354
仐	3412
兮	3415
刈	3422
介	3432
仌	3434
从	3434
父	3434
爻	3434
乥	3435
仑	3435
尣	3435
爫	3443
仒	3444
今	3445
凶	3452
分	3453
乏	3454
公	3454
仓	3455
勻	3511
月	3511
卆	3512
厃	3513
氏	3515
勿	3533
勽	3534
匁	3534
欠	3534
风	3534
勼	3535
匂	3535
丹	3541
匀	3541
乌	3551
卬	3552
凤	3554
勾	3554
厹	3554
殳	3554
卞	4124
亣	4132
六	4134
文	4134
亢	4135
方	4153
闩	4251
火	4334
兯	4352
为	4354
斗	4412
忆	4425
灬	4444
计	4512
订	4512
户	4513
礻	4524
讣	4524
认	4534
冗	4535
冘	4535
讥	4535
心	4544
丮	5112
肀	5112
尹	5113
卐	5121
夬	5134
尺	5134
弖	5151
弔	5152
引	5152
丑	5211
卍	5212
爿	5213
孔	5215
巴	5215
队	5234
阞	5253
収	5254
丒	5341
刅	5344
办	5344
夃	5354
以	5434
允	5435
予	5452
邓	5452
劝	5453
厸	5454
双	5454
毌	5521
书	5524
毋	5531
